,Unnamed: 0,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
126,8852,JB361926,nan,2018-07-23 15:15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/23/2018 03:40:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,320,S,LOWER WACKER DR,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,2,7,41.877549094,-87.637046302,POINT (-87.637046301815 41.877549094079)
127,8855,JB362478,nan,2018-07-23 15:00:00,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,07/23/2018 09:45:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,308,W,RANDOLPH ST,122,,,Y,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,2,7,41.88457506,-87.63566952,POINT (-87.63566951963 41.88457505999)
128,8858,JB361967,nan,2018-07-23 15:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/23/2018 04:04:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,651,W,LAKE ST,121,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,2,7,41.885587125,-87.64481130899998,POINT (-87.644811309222 41.88558712468)
129,8886,JB361931,nan,2018-07-23 14:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/23/2018 03:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,322,N,MICHIGAN AVE,111,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14,2,7,41.887332176,-87.624696238,POINT (-87.624696237579 41.887332175638)
130,8890,JB361837,nan,2018-07-23 13:45:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/23/2018 02:30:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,233,N,CANAL ST,1214,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,2,7,41.886776204,-87.63973772799999,POINT (-87.639737727529 41.886776204052)
131,8892,JB361802,nan,2018-07-23 13:40:00,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,OTHER OBJECT,ALLEY,1.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/23/2018 02:05:00 PM,NOT APPLICABLE,NOT APPLICABLE,245,S,WABASH AVE,113,,,,,,,1.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13,2,7,41.878450500999996,-87.625940465,POINT (-87.625940465074 41.878450501489)
132,8909,JB361701,nan,2018-07-23 12:35:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/23/2018 12:45:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,DISREGARDING TRAFFIC SIGNALS,106,E,BALBO DR,114,,,,,,,3.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12,2,7,41.873275293,-87.62391579700001,POINT (-87.623915796864 41.873275292986)
133,8929,JB361617,nan,2018-07-23 11:30:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/23/2018 11:35:00 AM,IMPROPER TURNING/NO SIGNAL,DISTRACTION - FROM OUTSIDE VEHICLE,801,W,WAYMAN ST,1214,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11,2,7,41.887281886,-87.647582823,POINT (-87.64758282256 41.887281886487)
134,8942,JB361510,nan,2018-07-23 10:30:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/23/2018 10:45:00 AM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,555,S,CLARK ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,2,7,41.874645576999995,-87.63053150100002,POINT (-87.63053150113 41.874645576971)
135,8949,JB361552,nan,2018-07-23 10:10:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,N,$500 OR LESS,07/23/2018 11:15:00 AM,IMPROPER LANE USAGE,DISREGARDING ROAD MARKINGS,500,W,KINZIE ST,1214,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,2,7,41.889157789,-87.63998598799999,POINT (-87.639985987671 41.88915778909)
137,8979,JB361348,nan,2018-07-23 08:29:00,30,NO CONTROLS,UNKNOWN,CLEAR,DARKNESS,FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/23/2018 08:30:00 AM,FAILING TO REDUCE SPEED TO AVOID CRASH,IMPROPER LANE USAGE,152,E,LOWER RANDOLPH ST,114,,,,,,,3.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8,2,7,41.884509257,-87.62255652200001,POINT (-87.62255652203 41.88450925714)
138,8987,JB361316,nan,2018-07-23 08:15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/23/2018 08:35:00 AM,IMPROPER LANE USAGE,FAILING TO YIELD RIGHT-OF-WAY,531,N,KINGSBURY ST,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,2,7,41.89150948,-87.639719409,POINT (-87.639719409413 41.891509480449)
139,8995,JB361312,nan,2018-07-23 07:45:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/23/2018 08:30:00 AM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,750,S,CLARK ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7,2,7,41.872427651,-87.63076273600002,POINT (-87.630762735867 41.872427651254)
140,9005,JB361270,nan,2018-07-23 07:00:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",07/23/2018 07:00:00 AM,IMPROPER OVERTAKING/PASSING,IMPROPER LANE USAGE,433,W,HARRISON ST,124,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7,2,7,41.874301044,-87.639082121,POINT (-87.639082121332 41.874301044496)
141,9016,JB361209,nan,2018-07-23 05:06:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN BARRIER,3.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/23/2018 05:23:00 AM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,360,W,WASHINGTON ST,122,,,,,,,3.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,3.0,0.0,5,2,7,41.883310254,-87.63710149299999,POINT (-87.637101492569 41.88331025425)
143,9023,JB361188,nan,2018-07-23 03:15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,ONE-WAY,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,07/23/2018 03:56:00 AM,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",NOT APPLICABLE,240,N,CLARK ST,122,,,,,,,2.0,NONINCAPACITATING INJURY,4.0,0.0,0.0,4.0,0.0,4.0,0.0,3,2,7,41.886788064,-87.63114738799999,POINT (-87.631147388391 41.886788064498)
144,9045,JB361004,nan,2018-07-22 21:40:00,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/22/2018 10:07:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,550,S,COLUMBUS DR,114,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21,1,7,41.874707723,-87.620735615,POINT (-87.620735615084 41.874707722754)
145,9087,JB360772,nan,2018-07-22 17:57:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/22/2018 06:23:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,32,W,RANDOLPH ST,111,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17,1,7,41.884592863,-87.629089521,POINT (-87.629089521446 41.884592862915)
146,9106,JB363499,nan,2018-07-22 16:45:00,40,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),1.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",07/24/2018 04:45:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,500,S,LOWER WACKER DR,123,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,16,1,7,41.875461621,-87.636027349,POINT (-87.636027349495 41.875461621165)
148,9155,JB360429,nan,2018-07-22 13:02:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,4.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",07/22/2018 01:02:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,399,S,STATE ST,113,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,2.0,0.0,13,1,7,41.876994246,-87.62750704,POINT (-87.627507040393 41.876994246236)
149,9204,JB360444,nan,2018-07-22 10:20:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,ONE-WAY,4.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",07/22/2018 01:20:00 PM,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,53,W,RANDOLPH ST,111,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,1,7,41.884371631,-87.629929097,POINT (-87.629929097225 41.884371630772)
150,9258,JB360014,nan,2018-07-22 03:30:00,30,NO CONTROLS,NO CONTROLS,RAIN,DARKNESS,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,WET,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/22/2018 03:47:00 AM,NOT APPLICABLE,NOT APPLICABLE,26,W,HUBBARD ST,1831,,,,,,,3.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,1,7,41.890158699000004,-87.629000582,POINT (-87.629000581527 41.890158698722)
151,9295,JB359893,nan,2018-07-22 00:30:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",07/22/2018 12:36:00 AM,EXCEEDING AUTHORIZED SPEED LIMIT,FAILING TO REDUCE SPEED TO AVOID CRASH,98,W,KINZIE ST,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,7,41.88932167,-87.63098602299999,POINT (-87.630986022954 41.889321670463)
152,9314,JB359852,nan,2018-07-21 23:17:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,ONE-WAY,2.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/21/2018 11:17:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,500,S,DEARBORN ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23,7,7,41.87556911,-87.629383226,POINT (-87.629383225868 41.875569109604)
153,9323,JB359832,nan,2018-07-21 22:45:00,35,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,OTHER,4.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/21/2018 10:46:00 PM,DISREGARDING STOP SIGN,NOT APPLICABLE,430,N,HALSTED ST,1214,,Y,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,7,7,41.890077898,-87.64775609,POINT (-87.647756089786 41.89007789797)
155,9352,JB359712,nan,2018-07-21 20:38:00,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/21/2018 09:38:00 PM,FOLLOWING TOO CLOSELY,EQUIPMENT - VEHICLE CONDITION,1,N,HALSTED ST,1224,Y,Y,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20,7,7,41.881815632,-87.64721471700001,POINT (-87.647214717041 41.881815631642)
156,9386,JB359677,nan,2018-07-21 18:00:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,3.0,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/21/2018 07:10:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,471,W,ADAMS ST,121,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18,7,7,41.879203111,-87.639551821,POINT (-87.639551821383 41.879203111052)
157,9403,JB359500,nan,2018-07-21 17:38:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/21/2018 06:10:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,454,W,GRAND AVE,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17,7,7,41.891562673,-87.64063962700001,POINT (-87.640639626911 41.891562673398)
158,9405,JB364963,nan,2018-07-21 17:30:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/25/2018 05:26:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,333,N,WABASH AVE,1834,,,,,,,1.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,7,7,41.888123998000005,-87.626824625,POINT (-87.626824625253 41.888123998431)
159,9441,JB361591,nan,2018-07-21 16:03:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,UNKNOWN,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,3.0,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/22/2018 11:45:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,30,E,MONROE ST,112,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,7,7,41.880891268,-87.62667427,POINT (-87.62667426974 41.880891268377)
160,9465,JB359271,nan,2018-07-21 15:00:00,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,$500 OR LESS,07/21/2018 03:13:00 PM,NOT APPLICABLE,NOT APPLICABLE,163,S,CANAL ST,121,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,7,7,41.879381666,-87.639460781,POINT (-87.639460780952 41.879381665679)
161,9466,JB359253,nan,2018-07-21 14:50:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),6.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/21/2018 03:06:00 PM,DISREGARDING ROAD MARKINGS,IMPROPER OVERTAKING/PASSING,40,E,CONGRESS PKWY,113,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14,7,7,41.875796371,-87.626139763,POINT (-87.62613976308 41.875796371188)
163,9494,JB359173,nan,2018-07-21 13:33:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,ONE-WAY,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/21/2018 01:50:00 PM,IMPROPER BACKING,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,769,W,JACKSON BLVD,1232,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,7,7,41.877843584000004,-87.646781834,POINT (-87.646781834111 41.877843584048)
164,9505,JB359267,nan,2018-07-21 13:10:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,6.0,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/21/2018 03:02:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,361,N,MICHIGAN AVE,114,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,7,7,41.888102774000004,-87.62440628600002,POINT (-87.624406286344 41.888102773694)
165,9523,JB359107,nan,2018-07-21 12:30:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,TURNING,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",07/21/2018 01:12:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,547,W,MADISON ST,121,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12,7,7,41.881741186999996,-87.64149711600002,POINT (-87.641497116454 41.881741186997)
166,9526,JB359065,nan,2018-07-21 12:15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,CENTER TURN LANE,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/21/2018 12:32:00 PM,FAILING TO YIELD RIGHT-OF-WAY,WEATHER,101,N,WACKER DR,122,,Y,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12,7,7,41.883234348,-87.636649062,POINT (-87.636649061859 41.883234347768)
167,9530,JB359055,nan,2018-07-21 11:54:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,3.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",07/21/2018 11:54:00 AM,FAILING TO YIELD RIGHT-OF-WAY,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",1,S,MICHIGAN AVE,114,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,2.0,0.0,11,7,7,41.882048398,-87.62421733,POINT (-87.62421733025 41.882048397571)
168,9551,JB358974,nan,2018-07-21 10:20:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,ONE-WAY,4.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/21/2018 10:21:00 AM,FAILING TO REDUCE SPEED TO AVOID CRASH,FOLLOWING TOO CLOSELY,57,E,WASHINGTON ST,112,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,7,7,41.883111805,-87.625784235,POINT (-87.625784234932 41.883111805442)
169,9556,JB358949,nan,2018-07-21 10:10:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,3.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",07/21/2018 10:14:00 AM,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),NOT APPLICABLE,500,W,RANDOLPH ST,121,,Y,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10,7,7,41.884551613,-87.639874241,POINT (-87.639874240945 41.884551612703)
170,9599,JB358878,Y,2018-07-21 07:45:00,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",07/21/2018 09:49:00 AM,NOT APPLICABLE,NOT APPLICABLE,350,W,HUBBARD ST,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,7,7,41.890047249,-87.63746738200001,POINT (-87.63746738177 41.890047248889)
